"ImageName","Grade","TrackID"
"various_C12_equirec_2048x1024_Criminisi360_q00.jpg","3","1540213554955"
"various_C3_equirec_2048x1024_Criminisi360_q00.jpg","4","1540213581332"
"various_C10_equirec_2048x1024_Criminisi360_q00.jpg","5","1540213607855"
"various_C11_equirec_2048x1024_FFIIwGC_q00.jpg","2","1540213618994"
"various_C8_equirec_2048x1024_CSH360_q00.jpg","5","1540213631575"
"various_C12_equirec_2048x1024_CSH_q00.jpg","1","1540213650364"
"various_C10_equirec_2048x1024_CSH360_q00.jpg","2","1540213658129"
"various_C3_equirec_2048x1024_Criminisi_q00.jpg","2","1540213676515"
"various_C10_equirec_2048x1024_FFIIwGC360_q00.jpg","1","1540213684775"
"various_C8_equirec_2048x1024_Criminisi_q00.jpg","3","1540213691131"
"various_C11_equirec_2048x1024_FFIIwGC360_q00.jpg","2","1540213705562"
"various_C3_equirec_2048x1024_FFIIwGC_q00.jpg","2","1540213713500"
"various_C8_equirec_2048x1024_FFIIwGC_q00.jpg","4","1540213731505"
"various_C11_equirec_2048x1024_CSH_q00.jpg","3","1540213748243"
"various_C12_equirec_2048x1024_CSH360_q00.jpg","4","1540213758486"
"various_C3_equirec_2048x1024_FFIIwGC360_q00.jpg","3","1540213765729"
"various_C8_equirec_2048x1024_FFIIwGC360_q00.jpg","4","1540213780453"
"various_C10_equirec_2048x1024_FFIIwGC_q00.jpg","1","1540213792179"
"various_C11_equirec_2048x1024_CSH360_q00.jpg","3","1540213797255"
"various_C12_equirec_2048x1024_FFIIwGC360_q00.jpg","2","1540213804649"
"various_C3_equirec_2048x1024_CSH360_q00.jpg","2","1540213815644"
"various_C12_equirec_2048x1024_Criminisi_q00.jpg","1","1540213823905"
"various_C11_equirec_2048x1024_Criminisi_q00.jpg","2","1540213834923"
"various_C8_equirec_2048x1024_Criminisi360_q00.jpg","5","1540213840943"
"various_C10_equirec_2048x1024_CSH_q00.jpg","1","1540213849798"
"various_C3_equirec_2048x1024_CSH_q00.jpg","2","1540213854495"
"various_C10_equirec_2048x1024_Criminisi_q00.jpg","1","1540213871085"
"various_C12_equirec_2048x1024_FFIIwGC_q00.jpg","1","1540213875306"
"various_C8_equirec_2048x1024_CSH_q00.jpg","2","1540213881876"
"various_C11_equirec_2048x1024_Criminisi360_q00.jpg","3","1540213889932"
