"ImageName","Grade","TrackID"
"various_C11_equirec_2048x1024_Criminisi_q00.jpg","4","1540211073120"
"various_C3_equirec_2048x1024_CSH360_q00.jpg","3","1540211084462"
"various_C8_equirec_2048x1024_Criminisi_q00.jpg","5","1540211093026"
"various_C10_equirec_2048x1024_Criminisi360_q00.jpg","4","1540211111740"
"various_C12_equirec_2048x1024_Criminisi_q00.jpg","3","1540211124361"
"various_C11_equirec_2048x1024_Criminisi360_q00.jpg","5","1540211136135"
"various_C10_equirec_2048x1024_Criminisi_q00.jpg","2","1540211145235"
"various_C11_equirec_2048x1024_FFIIwGC_q00.jpg","4","1540211154569"
"various_C12_equirec_2048x1024_CSH_q00.jpg","2","1540211161360"
"various_C8_equirec_2048x1024_CSH_q00.jpg","3","1540211171653"
"various_C12_equirec_2048x1024_FFIIwGC_q00.jpg","2","1540211178673"
"various_C8_equirec_2048x1024_Criminisi360_q00.jpg","3","1540211189276"
"various_C3_equirec_2048x1024_CSH_q00.jpg","4","1540211197244"
"various_C10_equirec_2048x1024_FFIIwGC360_q00.jpg","1","1540211206980"
"various_C3_equirec_2048x1024_Criminisi360_q00.jpg","4","1540211211792"
"various_C12_equirec_2048x1024_Criminisi360_q00.jpg","4","1540211217285"
"various_C10_equirec_2048x1024_CSH360_q00.jpg","4","1540211222544"
"various_C3_equirec_2048x1024_FFIIwGC360_q00.jpg","5","1540211228212"
"various_C8_equirec_2048x1024_FFIIwGC_q00.jpg","5","1540211235403"
"various_C10_equirec_2048x1024_FFIIwGC_q00.jpg","1","1540211241845"
"various_C11_equirec_2048x1024_CSH360_q00.jpg","5","1540211245070"
"various_C8_equirec_2048x1024_FFIIwGC360_q00.jpg","4","1540211251209"
"various_C12_equirec_2048x1024_FFIIwGC360_q00.jpg","2","1540211255562"
"various_C3_equirec_2048x1024_FFIIwGC_q00.jpg","5","1540211262584"
"various_C11_equirec_2048x1024_FFIIwGC360_q00.jpg","4","1540211266615"
"various_C10_equirec_2048x1024_CSH_q00.jpg","1","1540211272097"
"various_C12_equirec_2048x1024_CSH360_q00.jpg","4","1540211275400"
"various_C11_equirec_2048x1024_CSH_q00.jpg","5","1540211280134"
"various_C8_equirec_2048x1024_CSH360_q00.jpg","5","1540211284559"
"various_C3_equirec_2048x1024_Criminisi_q00.jpg","5","1540211291059"
